pair	model	n_mut	n_wt	beta_mut	dd	se	ci_lo	ci_hi	p	n	se_lineage_cluster	p_lineage_cluster	q_bh
BRCA1->BRCA2	expr_adj	22	1094	0.0325226208952611	-0.0325226208952611	0.0547322642775066	-0.0747506458809799	0.1397958876715022	0.5523696840611261	1116	0.0333809833357882	0.3299146110036235	0.6076066524672387
BRCA1->BRCA2	lineage_adj	22	1094	0.0422779849839956	-0.0422779849839956	0.0574265625955666	-0.0702760094592498	0.1548319794272412	0.4616031687958091	1116	0.0415671579297778	0.30910553241478	0.6347043570942374
EP300->CREBBP	base	78	1038	-0.344232150285736	0.344232150285736	0.0712925178920882	-0.4839629177214064	-0.2045013828500656	1.3760188560954738e-06	1116	0.0699636353649636	8.647431363517527e-07	3.7840518542625526e-06
EP300->CREBBP	cnv_adj	78	1038	-0.3441469796382834	0.3441469796382834	0.0717002873459195	-0.4846769605174588	-0.203616998759108	1.5882481723838285e-06	1116	0.0705188692723403	1.0597226222950293e-06	3.970620430959571e-06
EP300->CREBBP	expr_adj	78	1038	-0.3331219282176553	0.3331219282176553	0.0710034074233029	-0.4722860495469529	-0.1939578068883576	2.710330116566836e-06	1116	0.0718811410784303	3.580712959766881e-06	7.453407820558799e-06
EP300->CREBBP	lineage_adj	78	1038	-0.3255174805651777	0.3255174805651777	0.0727675344171494	-0.4681392272665694	-0.182895733863786	7.698956893234798e-06	1116	0.0699295316774953	3.2408167023862053e-06	2.1172131456395696e-05
PIK3CA->PIK3CB	base	114	1002	0.1236556676593668	-0.1236556676593668	0.014924119752556	0.0944049304433941	0.1529064048753396	1.1748991240029582e-16	1116	0.0123401038625906	1.2370648403678285e-23	1.2923890364032542e-15
PIK3CA->PIK3CB	cnv_adj	114	1002	0.1252738701061442	-0.1252738701061442	0.0152147843365603	0.0954534407739418	0.1550942994383465	1.8152786271479746e-16	1116	0.0122957045939138	2.233522016944376e-24	1.8152786271479748e-15
PIK3CA->PIK3CB	expr_adj	114	1002	0.1309965659562076	-0.1309965659562076	0.0157633361056614	0.1001009949129113	0.161892136999504	9.55362994970756e-17	1116	0.0119284851957164	4.673722755274897e-28	1.0508992944678316e-15
PIK3CA->PIK3CB	lineage_adj	114	1002	0.1309992596103203	-0.1309992596103203	0.017795196643924	0.0961213150904212	0.1658772041302194	1.818611784453849e-13	1116	0.0185185161276495	1.5057269347476306e-12	1.231946508166232e-12
AKT1->AKT2	base	4	1112	0.0988377206103907	-0.0988377206103907	0.0522954185613011	-0.0036594163262069	0.2013348575469885	0.0587595469120665	1116	0.0367649341282626	0.007180193592412	0.1292710032065463
AKT1->AKT2	cnv_adj	4	1112	0.1076635727737892	-0.1076635727737892	0.0636386510126233	-0.0170658912356659	0.2323930367832444	0.0906850037840677	1116	0.0435353240789751	0.0133977974382422	0.1813700075681354
AKT1->AKT2	expr_adj	4	1112	0.0881154664058283	-0.0881154664058283	0.0610846822848676	-0.031608310879584	0.2078392436912407	0.1491576233235714	1116	0.0339434426477573	0.0094329900473014	0.3281467713118572
AKT1->AKT2	lineage_adj	4	1112	0.1411869921881433	-0.1411869921881433	0.0942073901417016	-0.0434560995671056	0.3258300839433923	0.1339559492909099	1116	0.0717298819558309	0.049031821802218	0.2947030884400018
STK11->SIK1	base	45	1071	0.0172351636851785	-0.0172351636851785	0.0188092579327521	-0.01963030443894	0.0541006318092971	0.3595028596335533	1116	0.0162170865379731	0.2878826137688804	0.5364345959323465
STK11->SIK1	expr_adj	45	1071	0.0156134971447255	-0.0156134971447255	0.0203429465011223	-0.0242579453368993	0.0554849396263505	0.4427759462009868	1116	0.0167013023559519	0.3498568235214763	0.5411706009123172
STK11->SIK1	lineage_adj	45	1071	0.0257040311246933	-0.0257040311246933	0.0198187076919856	-0.0131399221717255	0.0645479844211122	0.1946456446945992	1116	0.0159120322588702	0.106227715211257	0.3568503486067652
FBXW7->FBXW2	base	54	1062	-0.0137927589020034	0.0137927589020034	0.0166185389635582	-0.0463644967462532	0.0187789789422462	0.406560164437276	1116	0.0140823723036079	0.3273654207973472	0.5364345959323465
FBXW7->FBXW2	cnv_adj	54	1062	-0.0122420239913348	0.0122420239913348	0.0165969134368389	-0.044771376582068	0.0202873285993983	0.4607524045438275	1116	0.0138501029210472	0.3767533927884109	0.5974817753750395
FBXW7->FBXW2	expr_adj	54	1062	-0.0138301657042969	0.0138301657042969	0.0165687645986404	-0.0463043475859545	0.0186440161773605	0.403879235374583	1116	0.0140251978217894	0.3240869077889093	0.5411706009123172
FBXW7->FBXW2	lineage_adj	54	1062	-0.0110479013493982	0.0110479013493982	0.0182187040934934	-0.0467559052176378	0.0246601025188413	0.5442462829338817	1116	0.0132223126658805	0.403408192327959	0.6651899013636331
PPP2R1A->PPP2R1B	base	9	1107	-0.0744345370144247	0.0744345370144247	0.0563654169714276	-0.1849087242520055	0.0360396502231561	0.1866444361275034	1116	0.0524804809053064	0.1560950172828294	0.3421814662337564
PPP2R1A->PPP2R1B	cnv_adj	9	1107	-0.0743973826719157	0.0743973826719157	0.0564535028804946	-0.1850442151188134	0.0362494497749819	0.1875530721199046	1116	0.0524430982159794	0.1560067466004792	0.3125884535331745
PPP2R1A->PPP2R1B	expr_adj	9	1107	-0.0743308504629425	0.0743308504629425	0.0565715614122547	-0.1852090733801578	0.0365473724542726	0.1888710780082948	1116	0.0525145024649782	0.1569410737125078	0.3462636430152072
PPP2R1A->PPP2R1B	lineage_adj	9	1107	-0.0655970123271076	0.0655970123271076	0.0566141553030562	-0.1765587177362552	0.0453646930820398	0.2465915232416746	1116	0.0529180846354507	0.2151250966724938	0.3875009650940602
CDK4->CDK6	base	4	1112	0.2483498831947687	-0.2483498831947687	0.3491220482830381	-0.4359167576488398	0.9326165240383772	0.4768639780485996	1116	0.1544675249925425	0.1078832484198127	0.5364345959323465
CDK4->CDK6	cnv_adj	4	1112	0.2522682029427555	-0.2522682029427555	0.3555344308865791	-0.4445664768588845	0.9491028827443956	0.4779854203000316	1116	0.1513361814857237	0.095526508792192	0.5974817753750395
CDK4->CDK6	expr_adj	4	1112	0.3351964162229047	-0.3351964162229047	0.3840800007233241	-0.4175865523769284	1.087979384822738	0.382812707267259	1116	0.0923948168580264	0.0002857686950428	0.5411706009123172
