driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
PIK3R1	SHC2	Endometrial	0.0	-0.1003632137295895	-0.0282808818316417	-0.0762099593797392	0.0774096105439878	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	SHC3	Endometrial	0.0	-0.0573804985652225	0.1598775423642535	-0.0753778568251904	0.0770232905969578	Novel	0.9541256752245454	0.25	7	21	False
STK11	SIK3	Cervical	0.0	0.2159265556022882	-0.0225761486386489	0.008848877843355	0.0764827713302164	Novel	0.5409737799092611	0.375	6	10	False
PIK3R1	STAP1	Endometrial	0.0	-0.0179338921135394	-0.0832678670435411	-0.0459289639974981	0.076042036556784	Novel	0.3185942253507202	0.25	7	21	False
KRAS	RAP2C	Endometrial	0.0	-0.4551634403546734	-0.1358452100341912	0.0672002745714641	0.0753186239404052	Novel	0.4426235176901215	0.2142857142857142	6	22	False
PIK3CA	PIK3CG	Cervical	0.0	-0.0144194862195089	0.0427573502560342	-0.0829308074300347	0.0750166532560538	Novel	0.549814121744631	0.1875	3	13	False
KRAS	RERG	Endometrial	0.0	-0.8354038856249819	0.0863229264173389	0.0548780893363835	0.0737922869800237	Novel	0.3080283748253804	0.2142857142857142	6	22	False
PIK3R1	PIK3R2	Endometrial	0.0202034432597536	0.1444637656518637	0.139851284982014	0.0310512214790214	0.0735351245974935	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	SH2D4B	Endometrial	0.0	0.0764776980932614	-0.0363520814295886	-0.0579229715442146	0.0724875850745743	Novel	0.7009302163516951	0.25	7	21	False
KRAS	RHEBL1	Endometrial	0.0180751387650839	0.4372067699605451	0.0413423121666554	0.0363378683826376	0.0721209681168458	Novel	0.6341415356073031	0.2142857142857142	6	22	False
PIK3R1	CLNK	Endometrial	0.0	-0.0094381999794085	-0.0311204993025267	-0.034010633512847	0.0705087176451346	Novel	0.3185942253507202	0.25	7	21	False
PIK3R1	SHB	Endometrial	0.0021035172066926	0.4322910140561946	0.0048659748602111	-0.0487764339131851	0.0700206209753699	Novel	0.7009302163516951	0.25	7	21	False
