driver_gene	paralog_gene	cancer_type	dependency_dd	cohens_d	hedges_g	dd_p_value	q_value	n_mut	n_wt	is_known_paralog_sl
KRAS	NKIRAS1	Ovarian	-0.0106407392019488	-0.1197510825827159	-0.1180484605554735	0.728154386754346	0.9831295613656932	8	47	False
KRAS	RAP2A	Endometrial	0.0106013088812415	0.0786810338588124	0.0763893532609829	0.8607932634987171	0.6341415356073031	6	22	False
PIK3R1	SHD	Endometrial	0.0096687167639653	0.0689688962167961	0.0669600934143652	0.8778854956021692	0.9541256752245454	7	21	False
TP53	TP73	Endometrial	-0.0094298171278922	-0.0473380390489603	-0.0459592612125828	0.9141608150876684	0.791633616039675	21	7	False
KRAS	MRAS	Ovarian	-0.0091640506829231	-0.0991342617495522	-0.0977247698763358	0.759397874141798	0.9831295613656932	8	47	False
STK11	SIK3	Cervical	0.008848877843355	0.0725485111810333	0.0685913196620679	0.8983155560587729	0.5409737799092611	6	10	False
KRAS	RASL10B	Ovarian	0.0080838488294139	0.0643164309823692	0.0634019793570274	0.8809048266437575	1.127298162678775e-05	8	47	False
PIK3R1	CRK	Endometrial	0.0080507822553311	0.0306717964483592	0.0297784431537468	0.9501000326407294	0.3646272941325647	7	21	False
KRAS	RAP1A	Endometrial	-0.0078187131106521	-0.0686814925933881	-0.0666810607702797	0.8595388758639844	0.6531546030225304	6	22	False
PIK3CA	PIK3CG	Ovarian	0.007516457753097	0.0588920013142825	0.058054674281378	0.8727518022388318	0.0296915055012997	12	43	False
KRAS	RAP2A	Ovarian	0.0073757976108595	0.0631561972603319	0.0622582418490475	0.8802090777592843	0.9831295613656932	8	47	False
KRAS	RASL12	Endometrial	0.0066292478572583	0.0579138339156049	0.0562270232190339	0.8955422583284467	0.6872962539375117	6	22	False
KRAS	DIRAS1	Ovarian	-0.0057394768615695	-0.0782164800807335	-0.0771043974255572	0.8147635799537396	0.9831295613656932	8	47	False
KRAS	RIT1	Endometrial	-0.0049917069547826	-0.0466407633872062	-0.0452822945506856	0.9050565056008276	0.125266589116456	6	22	False
PIK3R1	SH2D1B	Endometrial	-0.004872714863987	-0.0362672154096342	-0.0352108887472177	0.9147045949268212	0.9541256752245454	7	21	False
KRAS	RALA	Endometrial	0.0045133811413806	0.0334540193070173	0.0324796303951624	0.9264949175946904	0.8770682679216572	6	22	False
KRAS	RERG	Ovarian	-0.0043973152484733	-0.0408160767584911	-0.0402357533922566	0.9003067227880384	0.9831295613656932	8	47	False
KRAS	RRAS	Endometrial	-0.0039033705528594	-0.0377853214428071	-0.0366847780998127	0.9358410159357492	0.3957475959532177	6	22	False
KRAS	RERGL	Ovarian	0.0038852102104396	0.0353892469133929	0.0348860822653352	0.9220041902400492	0.6784698046259167	8	47	False
PTEN	TNS2	Ovarian	-0.0038338930677206	-0.0282639881459222	-0.0278621304945583	0.951922619526341	0.6446675069023333	6	49	False
KRAS	RIT2	Endometrial	-0.0032111906903065	-0.0279770953252107	-0.0271622284710783	0.934225815488552	0.3080283748253804	6	22	False
KRAS	RAP1B	Endometrial	0.0030520230111058	0.0258660173909231	0.0251126382436147	0.942112567331476	0.6341415356073031	6	22	False
PIK3R1	SH2D6	Endometrial	0.0	0.0	0.0	1.0	0.9541256752245454	7	21	False
