driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	cohens_d	hedges_g	dd_p_value	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
KRAS	RASL12	Ovarian	0.0	-0.5872491201170166	0.0783972396905899	0.0561105696129698	0.3104934550053849	0.3060788561190524	0.5007300246965706	0.0933559034397124	Novel	0.0237990199369363	0.1454545454545454	8	47	False
PIK3R1	SLA2	Endometrial	0.0	-0.0765470933330803	-0.095143650251277	-0.0505455749013714	-0.6427374208478045	-0.6240169134444704	0.1706399631026259	0.089213821270033	Novel	0.1263803442211752	0.25	7	21	False
PIK3R1	SH2D2A	Endometrial	0.0	-0.1457839020184475	-0.0534697098064455	0.1058713353663841	0.5875620363398726	0.5704485789707501	0.2410545548632696	0.088270747577675	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RRAS	Endometrial	0.0446680299262512	1.0483993597542698	0.0426059301836285	-0.0039033705528594	-0.0377853214428071	-0.0366847780998127	0.9358410159357492	0.0833288429372782	Novel	0.3957475959532177	0.2142857142857142	6	22	False
KRAS	RAP2B	Endometrial	0.0	-0.2069223151806034	-0.0515358154693063	0.0992529399345356	0.8035907050265001	0.7801851505111651	0.0457220952563077	0.0832666520708473	Novel	0.65030974898788	0.2142857142857142	6	22	False
KRAS	HRAS	Endometrial	0.0	-0.5440143433391897	0.185531108189856	-0.087184101192078	-0.5586681867660384	-0.5423962978311052	0.2592511664610812	0.0827314819069739	Novel	0.4426235176901215	0.2142857142857142	6	22	False
PIK3CA	PIK3CG	Ovarian	0.0	-0.2929344886731969	0.0427573502560342	0.007516457753097	0.0588920013142825	0.058054674281378	0.8727518022388318	0.0820972906658223	Novel	0.0296915055012997	0.2181818181818181	12	43	False
KRAS	NKIRAS2	Endometrial	0.0	-0.3027350102428494	-0.060951679852704	0.0852612281942373	0.6874140444926884	0.6673922762064936	0.1860142667276183	0.0818387503673212	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	RALB	Endometrial	0.0011799718962787	0.3966045890076346	0.0029751846775933	-0.0792201209438319	-0.7761109086138569	-0.7535057365183077	0.045144262147517	0.080032259077364	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	DIRAS2	Endometrial	0.0	-0.0790835454836065	-0.0493003395841572	-0.0949660928342362	-0.7498897054398713	-0.7280482577086129	0.0998775409189066	0.0773430666054124	Novel	0.8765905769007566	0.2142857142857142	6	22	False
KRAS	RRAS	Ovarian	0.0238336104151429	0.5593965514289145	0.0426059301836285	-0.0622450827768879	-0.66045873830776	-0.6510683297062279	0.0469801020520327	0.0762993074753023	Novel	0.498324665274842	0.1454545454545454	8	47	False
KRAS	RERGL	Endometrial	0.0	-0.0743069294943954	-0.0964926529335355	-0.0837154308879067	-0.9767791153407634	-0.948329238194916	0.032987417521991	0.0760530584590275	Novel	0.65030974898788	0.2142857142857142	6	22	False
STK11	SIK3	Cervical	0.0	0.2159265556022882	-0.0225761486386489	0.008848877843355	0.0725485111810333	0.0685913196620679	0.8983155560587729	0.0751349883005196	Novel	0.5409737799092611	0.375	6	10	False
PIK3R1	STAP1	Endometrial	0.0	-0.0179338921135394	-0.0832678670435411	-0.0459289639974981	-0.4350991928202358	-0.4224264007963454	0.3016604602946247	0.0748904504130609	Novel	0.3185942253507202	0.25	7	21	False
PIK3R1	SHC2	Endometrial	0.0	-0.1003632137295895	-0.0282808818316417	-0.0762099593797392	-0.665370030139546	-0.6459903205238311	0.1737970913027245	0.0744998714550657	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	SHC3	Endometrial	0.0	-0.0573804985652225	0.1598775423642535	-0.0753778568251904	-0.4502285861758064	-0.4371151322095208	0.2205572097783154	0.0741135515080357	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RAP2C	Endometrial	0.0	-0.4551634403546734	-0.1358452100341912	0.0672002745714641	0.5112350604538711	0.4963447188872535	0.1301798391672264	0.0734535980700243	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	RERG	Endometrial	0.0	-0.8354038856249819	0.0863229264173389	0.0548780893363835	0.3125121591308613	0.3034098632338459	0.4015915353644635	0.0725083463128449	Novel	0.3080283748253804	0.2142857142857142	6	22	False
PIK3R1	PIK3R2	Endometrial	0.0202034432597536	0.1444637656518637	0.139851284982014	0.0310512214790214	0.2009628538188733	0.1951095668144401	0.6336260156095694	0.0706253855085714	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	SH2D4B	Endometrial	0.0	0.0764776980932614	-0.0363520814295886	-0.0579229715442146	-0.4586906949914267	-0.4453307718363366	0.1990466649361662	0.0700721507833094	Novel	0.7009302163516951	0.25	7	21	False
KRAS	RHEBL1	Endometrial	0.0180751387650839	0.4372067699605451	0.0413423121666554	0.0363378683826376	0.2918490168554431	0.2833485600538283	0.5229004429355332	0.0696796256600491	Novel	0.6341415356073031	0.2142857142857142	6	22	False
PIK3R1	CLNK	Endometrial	0.0	-0.0094381999794085	-0.0311204993025267	-0.034010633512847	-0.2730426315929717	-0.2650899335854095	0.572447876646339	0.0693571315014115	Novel	0.3185942253507202	0.25	7	21	False
PIK3R1	SHB	Endometrial	0.0021035172066926	0.4322910140561946	0.0048659748602111	-0.0487764339131851	-0.2801452538348623	-0.2719856833348178	0.5830080116152467	0.067605186684105	Novel	0.7009302163516951	0.25	7	21	False
KRAS	DIRAS1	Endometrial	0.0	-0.9938041237338198	-0.0190173875781441	0.0422288705765193	0.4013340896042887	0.3896447471886298	0.3485355546350573	0.0666356981704153	Novel	0.3080283748253804	0.2142857142857142	6	22	False
PIK3R1	SHF	Endometrial	0.0021469236930272	0.0796258435604864	0.0269626492734912	-0.0473620534771085	-0.3015511910747749	-0.2927681466745387	0.542764038961909	0.0629228805895064	Novel	0.9541256752245454	0.25	7	21	False
KRAS	NRAS	Ovarian	0.0118989918713297	0.0539204582525547	0.2206767571521149	-0.0726902408560027	-0.22391091874856	-0.2207273511834146	0.3731426758202091	0.0621015565013742	Novel	0.9831295613656932	0.1454545454545454	8	47	False
PIK3R1	SHC4	Endometrial	0.0	-0.0394360031540584	0.0490642504633331	0.0478289600674346	0.4097157402310454	0.3977822720689761	0.3276136762449855	0.0613234353402483	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RIT1	Endometrial	0.0	-0.4510747861033195	0.1965607172288247	-0.0049917069547826	-0.0466407633872062	-0.0452822945506856	0.9050565056008276	0.0611999604895356	Novel	0.125266589116456	0.2142857142857142	6	22	False
KRAS	RIT1	Ovarian	0.0	-0.4243735743739529	0.1965607172288247	-0.0596832984125999	-0.4860244744327574	-0.4791141738484054	0.1431166205911077	0.0611833527296931	Novel	0.3104051550658437	0.1454545454545454	8	47	False
KRAS	RALA	Ovarian	0.0289333681205089	0.2156359189425138	0.1341769416820686	0.0351016367657702	0.3841488667755909	0.378687034546554	0.2696587579244597	0.060040788845977	Novel	0.9126410926046472	0.1454545454545454	8	47	False
KRAS	NRAS	Endometrial	0.0	-0.1269325074060923	0.2206767571521149	-0.0536264062893024	-0.3727859349414811	-0.3619280921761953	0.3138859660171509	0.0591617921904607	Novel	0.8118008128844857	0.2142857142857142	6	22	False
