component,delta
pcs_minus_dd,0.15335169880624433
pcs_minus_dd,0.40931372549019607
pcs_minus_dd,-0.06726768377253822
pcs_minus_dd,0.369
pcs_minus_dd,0.014000000000000012
pcs_minus_dd,0.299047619047619
pcs_minus_dd,0.15731573157315737
pcs_minus_dd,-0.047304730473047285
pcs_minus_dd,0.4722222222222222
pcs_minus_dd,0.438943894389439
pcs_minus_dd,-0.178921568627451
pcs_minus_dd,0.35973597359735976
pcs_minus_dd,0.03894080996884741
pcs_minus_dd,0.29372937293729373
pcs_minus_dd,0.29476584022038566
pcs_minus_dd,0.009191176470588203
pcs_minus_dd,0.17381738173817385
pcs_minus_dd,0.09899999999999998
pcs_minus_dd,0.29292929292929293
pcs_minus_dd,-0.22759433962264142
pcs_minus_dd,0.15896589658965898
pcs_minus_dd,0.15650000000000008
pcs_minus_dd,-0.13869625520110962
pcs_minus_dd,0.469
pcs_minus_dd,0.12871287128712872
pcs_minus_dd,0.3002773925104022
pcs_minus_dd,0.45122807017543864
pcs_minus_dd,0.027502750275027465
pcs_minus_dd,0.05940594059405935
pcs_minus_dd,0.14710884353741494
pcs_minus_dd,0.0955004591368227
pcs_minus_dd,0.21474358974358965
pcs_minus_dd,0.16822429906542058
pcs_minus_dd,0.2649999999999999
pcs_minus_dd,0.20649509803921573
pcs_minus_dd,0.4077669902912622
pcs_minus_dd,0.10847564832384571
pcs_minus_dd,0.32352941176470584
pcs_minus_dd,0.35863095238095244
pcs_minus_dd,0.245
pcs_minus_dd,0.21691176470588236
pcs_minus_dd,0.07720588235294112
pcs_minus_dd,0.18199999999999994
pcs_minus_dd,-0.003809523809523707
pcs_minus_dd,-0.0009182736455464191
pcs_minus_dd,0.15922619047619047
pcs_minus_dd,0.009803921568627416
pcs_minus_dd,0.37500000000000006
pcs_minus_dd,0.253
pcs_minus_dd,0.15300000000000002
pcs_minus_dd,-0.1185897435897435
pcs_minus_dd,0.24264705882352944
pcs_minus_dd,0.1933962264150943
pcs_minus_dd,0.012482662968099856
pcs_minus_dd,0.045499999999999985
pcs_minus_dd,0.6310679611650485
pcs_minus_dd,0.1607142857142857
pcs_minus_dd,0.39903846153846156
pcs_minus_dd,0.20857142857142852
pcs_minus_dd,-0.039262820512820484
pcs_minus_dd,0.2571428571428571
pcs_minus_dd,0.3189102564102564
pcs_minus_dd,0.2524271844660194
pcs_minus_dd,-0.03850385038503856
pcs_minus_dd,0.41046831955922863
pcs_minus_dd,-0.1104761904761905
pcs_minus_dd,0.30800000000000005
pcs_minus_dd,0.6105919003115265
pcs_minus_dd,0.31719298245614036
pcs_minus_dd,0.19251925192519248
pcs_minus_dd,0.47819314641744554
pcs_minus_dd,0.3133333333333333
pcs_minus_dd,0.044382801664355154
pcs_minus_dd,0.009778911564625847
pcs_minus_dd,0.14806547619047616
pcs_minus_dd,0.06372549019607843
pcs_minus_dd,0.40094339622641506
pcs_minus_dd,0.16745283018867918
pcs_minus_dd,0.2953431372549019
pcs_minus_dd,0.11378205128205121
pcs_minus_dd,0.14700000000000002
pcs_minus_dd,0.08172635445362719
pcs_minus_dd,0.22112211221122113
pcs_minus_dd,0.05963938973647709
pcs_minus_dd,-0.16952380952380952
pcs_minus_dd,0.2157943067033976
pcs_minus_dd,0.7169811320754716
pcs_minus_dd,-0.001386962552011095
pcs_minus_dd,0.23477564102564097
pcs_minus_dd,-0.05188679245283012
pcs_minus_dd,0.11029411764705888
pcs_minus_dd,0.25
pcs_minus_dd,0.2414741474147415
pcs_minus_dd,0.18952380952380954
pcs_minus_dd,0.22916666666666663
pcs_minus_dd,0.5320512820512822
pcs_minus_dd,0.16666666666666663
pcs_minus_dd,0.22023809523809523
pcs_minus_dd,0.20943134535367547
pcs_minus_dd,0.396694214876033
