driver_gene,paralog_gene,cancer_type,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,composite_score,novelty,q_value,mutation_frequency,n_mut,n_wt,is_known_paralog_sl
KRAS,RIT1,Lung,0.0,-0.03621123367420509,0.19656071722882473,-0.04469409458342388,-0.32112892081513295,-0.3185321909972208,0.1373302192154151,0.08462134191779655,Novel,0.98746482980656,0.37894736842105264,36,59,False
KRAS,RASL12,Lung,0.0,-0.061774628547643984,0.07839723969058991,-0.03811434557262699,-0.310883444188127,-0.30836956189010983,0.15754325251338538,0.0843334420554395,Novel,0.8003897215798762,0.37894736842105264,36,59,False
KRAS,RERGL,Lung,0.0,-0.12154861427257768,-0.09649265293353555,-0.0358859823995977,-0.35509562078088086,-0.35222422762092764,0.08631421361993517,0.08401495660236975,Novel,0.7580423530294554,0.37894736842105264,36,59,False
KRAS,RAP2B,Lung,0.0,-0.07959768194625871,-0.05153581546930635,-0.040903464281630046,-0.2486147560844401,-0.2466043941754015,0.2376145390296434,0.08363252493432821,Novel,0.9313243017667276,0.37894736842105264,36,59,False
KRAS,RRAS,Endometrial,0.04466802992625128,1.0483993597542698,0.04260593018362854,-0.0039033705528594698,-0.0377853214428071,-0.03668477809981272,0.9358410159357492,0.0833288429372782,Novel,0.39574759595321773,0.21428571428571427,6,22,False
KRAS,RAP2B,Endometrial,0.0,-0.20692231518060344,-0.05153581546930635,0.09925293993453561,0.8035907050265001,0.7801851505111651,0.04572209525630774,0.08326665207084735,Novel,0.65030974898788,0.21428571428571427,6,22,False
KRAS,HRAS,Endometrial,0.0,-0.5440143433391897,0.18553110818985608,-0.08718410119207806,-0.5586681867660384,-0.5423962978311052,0.25925116646108126,0.0827314819069739,Novel,0.44262351769012154,0.21428571428571427,6,22,False
PIK3CA,PIK3CG,Ovarian,0.0,-0.29293448867319694,0.04275735025603428,0.007516457753097016,0.05889200131428256,0.05805467428137807,0.8727518022388318,0.08209729066582233,Novel,0.02969150550129978,0.21818181818181817,12,43,False
KRAS,NKIRAS2,Endometrial,0.0,-0.30273501024284943,-0.06095167985270407,0.08526122819423737,0.6874140444926884,0.6673922762064936,0.18601426672761834,0.08183875036732122,Novel,0.44262351769012154,0.21428571428571427,6,22,False
KRAS,MRAS,Lung,0.0,-0.48858456989355803,-0.015696664219899067,-0.011417082717116809,-0.14334462850786336,-0.14218550752262457,0.5028661086120315,0.08105176112474413,Novel,0.4007346842178473,0.37894736842105264,36,59,False
