driver_gene,paralog_gene,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,expr_p_value,expr_t_stat,n_mut,n_wt,cancer_type,mutation_frequency,q_value,pass_threshold,pcs_rank,pcs_norm,dd_norm,composite_score,is_known_paralog_sl
KRAS,RRAS,0.002604756501277755,0.06113600829864385,0.04260593018362854,-0.08019598598042388,-0.5301547509886942,-0.5208537904450329,0.08120181210429568,0.831957494323172,0.21357383845214364,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,8.0,0.07616748155684627,0.7431282032701895,0.26183850262591973,False
KRAS,RERG,0.0,-0.47792801327436285,0.08632292641733895,-0.05936434802269794,-0.33977518672964463,-0.33381421854140525,0.27170029548681507,0.08631163361255705,-1.8097287942590352,27,18,Colorectal_MSS,0.6,0.8631163361255705,False,20.5,0.0,0.5457807424066722,0.25915614848133445,False
KRAS,RERGL,0.0,-0.11909851404616359,-0.09649265293353555,-0.09672460272539152,-0.5573477727703317,-0.5475697416690978,0.09002729269974989,0.1835327836269637,-1.3862291924734018,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.899711211904699,0.2550713635743985,False
KRAS,RIT1,0.0,-0.5652893805371755,0.19656071722882473,-0.03820291087975833,-0.21143054725605007,-0.2077212394094527,0.4902588689740847,0.05181997208333789,-2.035215844510254,27,18,Colorectal_MSS,0.6,0.8631163361255705,False,20.5,0.0,0.3453089457646216,0.21906178915292432,False
KRAS,DIRAS1,0.0,-0.05890017148404347,-0.01901738757814411,-0.06290001489863213,-0.8194791636441326,-0.8051023362117794,0.007429142578032521,0.8424625805785562,-0.2006286765647606,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.5792757024208979,0.19098426167763827,False
KRAS,RALA,0.003741427560351632,0.027884281110065245,0.13417694168206862,-0.026917374270726713,-0.1803087977044681,-0.17714548546403883,0.5611184276846889,0.8608539600431457,0.17637267572516588,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,7.0,0.10940566404558953,0.2383959896737802,0.17751115115100952,False
KRAS,RAP2C,0.0,-0.10632109020027825,-0.1358452100341912,-0.046438781846614374,-0.30123083362310854,-0.29594608215603646,0.33821156527369434,0.5894368203252905,-0.5448672965720721,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.42333104976848884,0.1597953311471565,False
KRAS,RALB,0.0006450709099329038,0.21681709871358468,0.0029751846775933587,0.0297473125163175,0.22235400952760453,0.21845306199203252,0.47867164877270446,0.27270664163954655,1.1171884511490653,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,10.0,0.01886296343288528,0.2652052654638662,0.13760165600267457,False
KRAS,MRAS,0.0,0.17415581294244342,-0.015696664219899067,-0.03175682183197082,-0.2146857031636156,-0.21091928731863988,0.5081338798464994,0.63897685669419,0.4733659661165672,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.28424224958535194,0.1319775711105291,False
KRAS,ERAS,0.0,0.0037250514376585622,-0.09870162113310209,-0.02672765262698354,-0.22576247286426726,-0.2217068595792804,0.4616200196347098,0.8534944944483991,0.18577631931156616,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.2365986713477058,0.12244885546299986,False
KRAS,NKIRAS2,0.0,-0.0892345319767962,-0.06095167985270407,0.02580174633422945,0.17535053961446695,0.17227421435807277,0.5711084805765055,0.6566793077104475,-0.4483083522175477,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.22782714525631634,0.12069455024472198,False
KRAS,RIT2,0.0,-0.0040065368220617145,-0.11976103984755841,-0.024632012587010754,-0.20007336916351792,-0.19656331005538602,0.5051307483427648,0.5783944107528894,-0.5606301487043199,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.21674573219756246,0.1184782676329712,False
KRAS,RASL10B,0.0,-0.15145408994118204,0.12293100942354462,0.016825671026396094,0.0922414531086952,0.09062318200152511,0.7513264497286546,0.7157774449545644,-0.3667220160232758,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.1427927531400854,0.10368767182147579,False
KRAS,DIRAS2,0.0,-0.11595227062228017,-0.0493003395841572,-0.01670409416970072,-0.12229257239512768,-0.12014708866889737,0.6934267370570403,0.6557869278263594,-0.4490922433912819,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.14164100098227198,0.10345732138991309,False
KRAS,RASL11B,0.0,-0.3380438700906871,0.02461749069950908,0.01533060292568571,0.09620154833513235,0.09451380187311248,0.7517895113861509,0.31351525761218035,-1.0283264987391623,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.12862930165864253,0.10085498152518721,False
KRAS,RAP1B,0.0,-0.13574951678138714,0.4250483568832675,0.011823542680953203,0.05727469318962373,0.056269874010858395,0.8492507530931462,0.5542253993473807,-0.5969629283696162,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.09540534510765707,0.09421019021499011,False
KRAS,NKIRAS1,0.0,-0.12103278367948711,-0.046326681231624534,-0.008074329721169289,-0.07479499561318476,-0.07348280270769028,0.811312789671729,0.48565503119446646,-0.7034400074122013,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.05988736714781363,0.08710659462302142,False
KRAS,RAP1A,0.0,-0.09760588129952819,0.1917539921631519,0.004642349764567677,0.025587567698360406,0.025138663001897942,0.9356320072560345,0.4918157342604504,-0.6945308395733407,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.027374679881250353,0.08060405716970877,False
KRAS,RAP2A,0.0,-0.35686722515912583,0.1526784498066791,-0.0029558820016787057,-0.019994366815797002,-0.01964358845060758,0.9484393693278578,0.284068580081827,-1.09277709123022,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.011398013451576728,0.07740872388377405,False
KRAS,RASD2,0.0,-0.025195542779761104,0.15669597476459943,-0.0017527284945517696,-0.01307619296904201,-0.01284678607484829,0.9668112393684847,0.7196813726069367,-0.3623982961928845,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,0.0,0.0751291211934587,False
