cancer,driver,paralog,is_known_sl,dd_trunc,dd_miss,dd_all,n_trunc,n_miss,n_wt
Endometrial,PIK3R1,STAP1,False,-0.04438299743437914,0.0,-0.03125811633444925,7,1,17
Endometrial,PIK3R1,SUPT6H,False,-0.06590874538163805,0.0,-0.03122565957610357,7,1,17
Endometrial,PIK3R1,TNS4,False,-0.03683954771505455,0.0,-0.03812582070442606,7,1,17
Endometrial,PIK3R1,CLNK,False,-0.030702235210576658,0.0,-0.04177609936826589,7,1,17
Endometrial,PIK3R1,CRK,False,0.012029061480403336,0.0,0.036193716705054224,7,1,17
Endometrial,PIK3R1,CRKL,False,0.22391022305736852,0.0,0.219140300985455,7,1,17
Endometrial,BRCA2,BRCA1,True,-0.2203248072737356,0.04479258075565817,-0.1209057867627128,5,3,20
Endometrial,RB1,SAA1,False,0.0,0.0,0.0,4,2,22
Endometrial,RB1,CAMP,False,-0.07199713040835351,0.0,-0.05857780790532519,4,2,22
Endometrial,RB1,THPO,False,-0.0030397248804567914,0.0,0.029395235029551187,4,2,22
Endometrial,RB1,UTS2B,False,-0.03900613812921222,0.0,-0.05347801519652538,4,2,22
Endometrial,RB1,VWF,False,0.023243790240782176,0.0,-0.02618052811017801,4,2,22
Endometrial,RB1,WIF1,False,0.03222850056236196,0.0,0.040366892417120506,4,2,22
Endometrial,RB1,CORT,False,0.04532700703426324,0.0,0.05841133187631961,4,2,22
Endometrial,RB1,EPO,False,0.06438991433332669,0.0,0.014260271910751798,4,2,22
Endometrial,RB1,RBL1,False,-0.21309093593398445,0.0,-0.14347929740016416,4,2,22
Endometrial,RB1,RBL2,False,-0.058140332438351636,0.0,-0.04021646113736356,4,2,22
