gene,cnv,dep
ARID1A,1.1796934370475094,0.0961682414661032
ARID1A,0.9349013200722232,0.0781976964922321
ARID1A,0.998292159075612,-0.3639557420454714
ARID1A,0.6620742839957445,0.097062958983623
ARID1A,1.2021150685972195,-0.0939403028470126
ARID1A,1.3223315948162195,-0.2853423130197933
ARID1A,0.9103732046454084,-0.0818860112888704
ARID1A,1.6115087256358551,-0.844393198651427
ARID1A,1.003448099965316,0.3363077786050077
ARID1A,0.8798808024242104,-0.2429712711380477
ARID1A,0.981796548473071,-0.1466416095153384
ARID1A,0.497417786155249,0.2123539664959209
ARID1A,1.038424984425983,-0.5273002964947846
ARID1A,1.0711332768068051,0.2613577726679301
ARID1A,0.6544496010105171,0.621919207093105
ARID1A,1.2277237699514785,-0.8298225209729934
ARID1A,0.6917544860971065,-0.4745689670105478
ARID1A,0.5447442619719449,-0.2617285053485849
ARID1A,1.0073339199994258,-0.4679319655408589
ARID1A,1.0792858389703197,-0.4514995453814685
ARID1A,1.0139932158626652,-0.1826300831013573
ARID1A,1.0458261143923693,-0.6402159753358183
ARID1A,1.3599051211600142,0.0574752347236069
ARID1A,1.066632357807114,-0.402158527561588
ARID1A,0.8770998529771832,-0.4974672876019026
ARID1A,0.745570146982762,-0.4059582997509727
ARID1A,0.6157010781664761,0.1111717322481584
ARID1A,1.0865292400343278,0.3478709385751286
ARID1A,1.000857097013073,0.2688327214413807
ARID1A,0.7626388863899773,-0.1730693207759548
ARID1A,0.9746174780009952,-0.5785806727606201
ARID1A,1.0463373018357602,-0.110569983495038
ARID1A,1.0314736738484522,-0.2810400845653238
ARID1A,6.40394423757657e-07,-0.0643981879848878
ARID1A,1.0909855549688845,-0.822682232408153
ARID1A,1.070801451719432,-0.0599950455348831
ARID1A,0.9305083489626892,-0.3810524986400146
ARID1A,0.8731533750726445,-0.1978200391308362
ARID1A,1.061440866436777,0.1538657423891033
ARID1A,0.7521143874134842,-0.0619982220714243
ARID1A,1.3732183110338498,-0.3122601962048096
ARID1A,1.3179156161106782,-0.1052316750675245
ARID1A,1.013477457715542,0.0040149721219696
ARID1A,0.7162012789236472,-0.4687532515619188
ARID1A,1.2372139452838995,-0.4247077690084704
ARID1A,0.6819207546923924,0.1128555874274421
ARID1A,1.2490350829551669,-0.0728142531738197
ARID1A,1.1126686302658495,-0.1310048240374175
ARID1A,0.9610643913690584,-0.357380847900079
ARID1A,1.0426630444478475,-0.6361775307270219
ARID1A,0.8854427899612597,-0.0631688234084077
ARID1A,0.6705654234130011,-0.6526497133153016
ARID1A,0.7490801513553744,-0.4374749999945085
ARID1A,0.7095656127565133,-0.3612822571552515
ARID1A,1.0774291476559863,-0.547400040755735
ARID1A,0.935972469232172,0.0808009226245213
ARID1A,0.8066579739074663,-0.2355493579905682
ARID1A,1.0803883588122882,-1.152013088662347
ARID1A,1.1525409413756804,0.2327342038590817
ARID1A,1.131522286301254,-0.9098927042792776
ARID1A,0.5322979812726465,-0.1378485784106639
ARID1A,1.0012186014883848,-0.4879568388104394
ARID1A,1.010179731096485,-0.6480396764845423
ARID1A,0.9713519316554824,0.6820770787885889
ARID1A,0.9461094529620496,-0.1410332108489704
ARID1A,0.9827007077368431,-0.4733638265928144
ARID1A,0.8253454535523389,-0.3231182155012916
ARID1A,0.9766564011405744,0.2217072998748376
ARID1A,1.403932914907867,-0.293443005421636
ARID1A,0.8613998634530375,-0.0625815413789436
ARID1A,0.8739786849105307,-0.2708414294047082
ARID1A,0.9064290476657956,-0.4457982967673889
