pair,gene_a,gene_b,hit_any_line,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
HMGCL|HMGCLL1,HMGCL,HMGCLL1,0,0.0815563684748632,1.7923232358975356,0.6464496170717496
HMGCS1|HMGCS2,HMGCS1,HMGCS2,0,-0.17361252829331075,2.331647091597345,0.861982456943983
HMSD|SERPINA11,HMSD,SERPINA11,0,0.0810717141116443,1.405969378132407,0.5322099889722663
HMSD|SERPINA12,HMSD,SERPINA12,0,0.017888821894110063,0.3715217675642058,0.163598499009704
HMSD|SERPINA9,HMSD,SERPINA9,0,-0.10320981903671511,1.3379099009151505,-0.5186051001240275
HNRNPF|HNRNPH1,HNRNPF,HNRNPH1,1,-0.3292941418969606,2.255469481183004,1.2036532338122015
HNRNPH1|HNRNPH3,HNRNPH1,HNRNPH3,1,-0.564758982410089,-2.5475576296653255,-1.189410722624658
HPS1|MYCN,HPS1,MYCN,0,0.07179226234649584,1.7597124908662252,0.5703725075846795
HSCB|TSTD1,HSCB,TSTD1,0,,,
HUS1|HUS1B,HUS1,HUS1B,0,0.09393396275055405,0.5596179146222533,0.3063390009407346
ICK|MAK,ICK,MAK,0,,,
IDH1|IDH2,IDH1,IDH2,0,0.05711639063890561,1.2667608421895673,0.6070579995727101
IDH3B|IDH3G,IDH3B,IDH3G,1,-0.30907090087390415,-2.9403973194097848,-0.8899068923121467
IKBKE|TBK1,IKBKE,TBK1,0,-0.07831079976981968,0.898980295042698,0.42315862804196364
IL10RA|IL6R,IL6R,IL10RA,0,0.09091874669314372,-1.253617941653426,0.496709528425752
IL6ST|PCGF1,IL6ST,PCGF1,0,-0.3097422860432896,-6.2663094020107675,-1.5048514289535113
ILF3|SFPQ,ILF3,SFPQ,0,-0.30792429887753436,4.362407974850772,1.4143032539180478
IMPDH1|IMPDH2,IMPDH1,IMPDH2,1,-0.30663823680839386,-1.4137753744343629,-0.746886746146378
INCENP|ZWILCH,INCENP,ZWILCH,1,-0.29266147317256075,-2.927961362193913,-1.4709570726559364
INTS2|VMP1,INTS2,VMP1,0,-0.2638601437738646,2.335190478059183,0.9120879526609372
INTS6|INTS6L,INTS6,INTS6L,1,-0.6686980195948126,-1.7993663930366919,-0.9532846268643228
