pair,gene_a,gene_b,hit_union,hit_h1299,hit_mdamb231,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
CDC25A_CDC25B,CDC25A,CDC25B,1,1,0,0.2027947734360901,-3.7710862193498143,-1.2637185308771395
CSNK1A1_CSNK1D,CSNK1A1,CSNK1D,1,1,0,0.2954956025673737,-1.9820420170756934,0.768460583659674
PPP1CA_PPP1CC,PPP1CA,PPP1CC,1,1,0,-0.5620329577230574,-4.346682328541857,-2.6432016236024727
VRK1_VRK2,VRK1,VRK2,1,1,0,-0.12884768227061855,-3.184269701888412,-0.9386703416843432
AP1B1_AP2B1,AP1B1,AP2B1,1,1,0,-0.23557923857798485,1.1121899070534451,-0.7134684846910313
LDHA_LDHB,LDHA,LDHB,1,1,0,,,
FUNDC1_FUNDC2,FUNDC1,FUNDC2,1,1,0,,,
PPP2R2A_PPP2R2D,PPP2R2A,PPP2R2D,1,1,0,0.015722041860218278,0.18558563975669168,0.06410953604151395
P4HB_PDIA3,P4HB,PDIA3,1,1,0,-0.05261165136786572,-0.87206735877875,-0.4848298433856032
BIRC2_BIRC3,BIRC2,BIRC3,1,1,0,-0.29129347594254695,-7.77638183084635,-1.6203713368897534
METTL21A_VCPKMT,METTL21A,VCPKMT,1,1,0,,,
CIT_ROCK1,CIT,ROCK1,1,1,0,-0.3020857691016433,-4.659235968574775,-2.0568034733416654
SLC9A1_SLC9A7,SLC9A1,SLC9A7,1,1,0,0.09971816201104641,2.3855999637704866,0.5815744820706332
ATF3_JDP2,ATF3,JDP2,1,1,0,,,
BCL3_NFKBID,BCL3,NFKBID,1,1,0,-0.023306614048671487,-0.8824985555413726,-0.289160667860177
ZNF43_ZNF91,ZNF43,ZNF91,1,1,0,0.1995641455241296,3.329073297128045,1.1596220608186731
ZFP28_ZNF570,ZFP28,ZNF570,1,1,0,0.13639673545162762,2.6405507005906332,0.8887014499696049
NME1_NME7,NME1,NME7,1,1,0,,,
HSD17B11_RDH10,HSD17B11,RDH10,1,1,0,0.25982195179870676,3.611922098299081,1.83989649630613
ZNF138_ZNF92,ZNF138,ZNF92,1,1,0,0.07426476835687795,0.6709799027544855,-0.3519344795985248
ARL8A_TRIM23,ARL8A,TRIM23,1,1,0,-0.09916431915857224,-1.6487833710489,-0.8274634754659923
CPNE1_CPNE8,CPNE1,CPNE8,1,1,0,-0.03338838875253936,-0.6954402474806304,-0.3131941504807572
ROCK2_STK38,ROCK2,STK38,1,1,0,0.24598678047554695,-3.9923657444151877,1.7334721039480026
BTBD1_BTBD3,BTBD1,BTBD3,1,1,0,-0.13159859957937434,-2.4050097694128185,-1.028740914349207
RARG_VDR,RARG,VDR,1,1,0,-0.03877912451887412,-1.2844784829862534,-0.251982391346636
RHOG_RHOQ,RHOG,RHOQ,1,1,0,-0.06893571579696611,-0.3231450288244878,-0.20527413020502142
SLC9A6_SLC9A7,SLC9A6,SLC9A7,1,1,0,-0.15914490773027812,-3.98783045769106,-1.1781139462879542
FLNA_FLNB,FLNA,FLNB,1,1,0,-0.14717988649787822,-2.7956867608578704,-1.809264279307435
RAB23_RAB9A,RAB23,RAB9A,1,1,0,,,
GRAMD1A_GRAMD1B,GRAMD1A,GRAMD1B,1,1,0,0.0758154545309954,1.7500910550242996,0.7490369204350183
HERC4_UBE3A,HERC4,UBE3A,1,1,0,0.19251843615577782,1.9219320572881182,1.041647574905096
TBC1D15_TBC1D16,TBC1D15,TBC1D16,1,1,0,-0.1331166685865561,1.7973686551965187,0.7236358760247105
ADD1_ADD3,ADD1,ADD3,1,1,0,0.05582830052825878,1.3892205534079038,0.5821168248297548
ZNF680_ZNF695,ZNF680,ZNF695,1,1,0,0.14095747667220782,-4.867620134260226,-1.031429193496573
MAP3K11_MAP3K13,MAP3K11,MAP3K13,1,1,0,-0.22381772970086608,-2.2859857613886305,-1.2587969201204259
STRBP_ZFR,STRBP,ZFR,1,1,0,-0.1300549844265212,1.3933130701315732,0.8338512708033289
MIA2_MIA3,MIA2,MIA3,1,1,0,0.23486512816461932,-2.3721942832751806,1.1432143812042983
ANKRD18A_ANKRD36,ANKRD18A,ANKRD36,1,1,0,0.4227589907165856,3.419147041943301,1.119847922411115
TUBB_TUBB2A,TUBB,TUBB2A,1,1,0,,,
TADA2A_TADA2B,TADA2A,TADA2B,1,1,0,0.15916410544487658,1.1205541114014452,0.4643352226184477
SLC39A10_SLC39A6,SLC39A10,SLC39A6,1,1,0,0.24198392593587664,2.179912464762588,1.004012762787044
CCPG1_PBXIP1,CCPG1,PBXIP1,1,1,0,0.06085072444499505,1.3049548250731966,0.6052821041274682
MAP4K3_STK10,MAP4K3,STK10,1,1,0,-0.27779156973963015,4.741178973486193,1.3111343605902384
CNN2_TAGLN2,CNN2,TAGLN2,1,1,0,,,
NRAS_RRAS2,NRAS,RRAS2,1,1,0,0.10991675469891843,2.01558337603744,0.941264830727927
DENND4A_DENND4C,DENND4A,DENND4C,1,1,0,-0.20615589998641878,-2.1858321882790785,-1.0818315136069383
ARF1_ARL8A,ARF1,ARL8A,1,1,0,,,
ZDHHC13_ZDHHC17,ZDHHC13,ZDHHC17,1,1,0,0.19719584382840633,-2.577850709808271,1.2839390566772246
VPS13A_VPS13C,VPS13A,VPS13C,1,1,0,0.20355712553969071,-5.97866221937114,-2.539705926111318
OXSR1_PAK1,OXSR1,PAK1,1,1,0,-0.10512508147860022,-1.049883890391299,-0.5286161097615019
GEM_MRAS,GEM,MRAS,1,1,0,0.041257468133480885,0.3939357004282511,0.27254754319550173
ELK1_ELK3,ELK1,ELK3,1,1,0,-0.08671483894896966,-1.2456471666571811,-0.6037180472984833
SLC36A1_SLC36A4,SLC36A1,SLC36A4,1,1,0,0.05527370667678927,1.1299587420923394,0.4002980278595318
CNOT6_CNOT6L,CNOT6,CNOT6L,1,1,0,-0.1436539200396365,-1.340632832282294,-0.6440627511214749
SFT2D1_SFT2D2,SFT2D1,SFT2D2,1,1,0,,,
SNAP23_SNAP25,SNAP23,SNAP25,1,1,0,,,
GIT1_GIT2,GIT1,GIT2,1,1,0,-0.1260607386173034,-2.2402792443876467,-1.0380729081357547
ASF1A_ASF1B,ASF1A,ASF1B,1,1,0,,,
UBE2A_UBE2B,UBE2A,UBE2B,1,1,0,,,
GSPT1_HBS1L,GSPT1,HBS1L,1,1,0,-0.4695729351784994,-1.6350908938349757,-0.8316331222976256
KCTD10_TNFAIP1,KCTD10,TNFAIP1,1,1,0,-0.1050897455267214,0.7506111251417751,0.3177606784031403
PRPS1_PRPS2,PRPS1,PRPS2,1,1,0,-0.6490716199265458,-1.1848328169961881,-0.9460089667528999
HNRNPAB_HNRNPDL,HNRNPAB,HNRNPDL,1,1,0,-0.14707539133948963,-2.7452926534923785,-0.9023385114650214
PCGF2_PCGF3,PCGF2,PCGF3,1,1,0,-0.12483871909461301,1.0342167498784636,-0.6049257517046456
MAGOH_MAGOHB,MAGOH,MAGOHB,1,1,0,,,
PDS5A_PDS5B,PDS5A,PDS5B,1,1,0,-0.7505860854085573,-3.079113291481901,-1.160162321212678
TRA2A_TRA2B,TRA2A,TRA2B,1,1,0,-0.34863601143160616,-1.336552098745954,-0.9275346350106354
HNRNPAB_HNRNPD,HNRNPAB,HNRNPD,1,1,0,-0.008097559757387705,-0.13815672427154485,-0.050646570515633385
PFN1_PFN2,PFN1,PFN2,1,1,0,,,
DDX20_DDX39A,DDX20,DDX39A,1,1,0,-0.08493342046942784,-1.4520559197427654,-0.48850647754195087
HNRNPAB_TARDBP,HNRNPAB,TARDBP,1,1,0,-0.16718497436142232,-1.8658527032101508,-0.9555565153024044
HSPA1B_HSPA8,HSPA1B,HSPA8,1,1,0,,,
CBWD1_CBWD3,CBWD1,CBWD3,1,1,0,,,
ARF6_ARL8A,ARF6,ARL8A,1,1,0,,,
CCNA2_CCNE2,CCNA2,CCNE2,1,1,0,0.6614702960848048,4.9648587213529405,1.9821689678769554
CENPE_KIF5B,CENPE,KIF5B,1,1,0,0.25452024614162355,2.581327109568025,1.0729936911738145
LMNA_LMNB1,LMNA,LMNB1,1,1,0,-0.015461467174419305,-0.2656885379223958,-0.09793763235867944
CENPE_KIF9,CENPE,KIF9,1,1,0,0.156791236183911,-2.47841762227588,-0.9369097781276142
CUL2_CUL5,CUL2,CUL5,1,1,0,-0.250428134326639,-2.4258214796695383,-0.9122265060620066
CWC27_PPIH,CWC27,PPIH,1,1,0,0.1342971186398974,1.390401247484255,0.6149148498123468
SEPTIN7_SEPTIN9,SEPTIN7,SEPTIN9,1,1,0,,,
PPP1R12A_PPP1R16A,PPP1R12A,PPP1R16A,1,1,0,-0.32021354201798213,0.7571251751574085,-0.3595928839377253
MSI2_TARDBP,MSI2,TARDBP,1,1,0,0.16317357304083258,0.9306130194040229,0.461146660744884
HNRNPL_PTBP2,HNRNPL,PTBP2,1,1,0,-0.1042141725460438,-1.6978186709715921,-0.9094658406508461
AP1M2_AP3M1,AP1M2,AP3M1,1,1,0,0.07464913919517392,1.6965680394611988,0.7442818127203359
RBM15B_SPEN,RBM15B,SPEN,1,1,0,0.16536133137293269,9.723924860892698,1.7164786812610568
PPIC_PPIL4,PPIC,PPIL4,1,1,0,-0.2529958285392365,-1.3011724454287052,-0.8132538818102576
HNRNPD_TARDBP,HNRNPD,TARDBP,1,1,0,-0.3730824591687585,-4.859216165489535,-1.3755376180540282
POC1B_WDR5,POC1B,WDR5,1,1,0,0.15709729332562783,2.5210207260460025,0.950385771381197
DDX46_DDX50,DDX46,DDX50,1,1,0,-0.20613135712451625,1.9716252814536965,0.6673919421435158
NBPF14_NBPF9,NBPF14,NBPF9,1,1,0,,,
TMEM87A_TMEM87B,TMEM87A,TMEM87B,1,1,0,-0.1298572127474469,-2.2567866420762273,-0.9816598636605199
KATNB1_WDR5B,KATNB1,WDR5B,0,0,0,-0.14974678294354166,-1.8188440512108197,-0.9537505938562295
ARSH_GALNS,ARSH,GALNS,0,0,0,-0.06572123721131888,-2.0472713551625312,-0.5763275435784078
CYP3A4_CYP46A1,CYP3A4,CYP46A1,0,0,0,0.27277044605119116,1.8514419823328263,1.1848282453963332
KIRREL1_KIRREL3,KIRREL1,KIRREL3,0,0,0,0.06830759054470231,-1.067105556148398,0.44593615328513353
SLC26A1_SLC26A4,SLC26A1,SLC26A4,0,0,0,0.1502430277635553,1.8697924610913768,1.083953483026561
ZFP69B_ZNF713,ZFP69B,ZNF713,0,0,0,-0.08523563161660337,-1.8065668516938698,-0.6895185398454731
NLRP12_RNH1,NLRP12,RNH1,0,0,0,0.18947054768256744,3.0170802214060255,1.0117597581773283
HSPA1A_HSPA6,HSPA1A,HSPA6,0,0,0,,,
SLC26A10_SLC26A4,SLC26A10,SLC26A4,0,0,0,,,
SLCO1A2_SLCO1B1,SLCO1A2,SLCO1B1,0,0,0,0.06979618652795107,-3.673194484188929,-0.5717151783135616
LALBA_LYZL2,LALBA,LYZL2,0,0,0,,,
GRIA4_GRIN2A,GRIA4,GRIN2A,0,0,0,0.06630535227346639,3.476521007180477,0.8676112913565137
KLHL10_KLHL9,KLHL10,KLHL9,0,0,0,-0.21228103512398191,-0.8865276252509168,-0.680137737354489
HSD17B6_RDH16,HSD17B6,RDH16,0,0,0,,,
ZNF486_ZNF708,ZNF486,ZNF708,0,0,0,-0.14968316979220203,-3.8651655136006875,-1.580345754662217
ZNF433_ZNF490,ZNF433,ZNF490,0,0,0,0.14698076715868072,1.4606182531792888,0.8162222426598983
DNAH3_DNAH6,DNAH3,DNAH6,0,0,0,0.17009656683778657,-3.1149312698342646,1.3813448514148439
ZNF716_ZNF728,ZNF716,ZNF728,0,0,0,-0.11062580205381906,-1.6154338660386958,-0.46228579404201353
ZNF195_ZNF676,ZNF195,ZNF676,0,0,0,0.25716147856566857,2.878370217118909,1.1418097687814526
ZNF273_ZNF680,ZNF273,ZNF680,0,0,0,0.3159520598952925,2.6752270482347433,1.3134384357044764
PTPN13_PTPN20,PTPN13,PTPN20,0,0,0,0.12816527511722467,3.3624821911745015,1.0046685868736764
POU2F2_POU5F1,POU2F2,POU5F1,0,0,0,0.07508698363831705,1.0502405923836842,0.5998511756354857
UPK3B_UPK3BL2,UPK3B,UPK3BL2,0,0,0,,,
ACTBL2_ACTRT1,ACTBL2,ACTRT1,0,0,0,0.09772123381109445,2.4164868990991,0.9203274281351723
ZNF141_ZNF716,ZNF141,ZNF716,0,0,0,-0.12233124835418437,1.9349857546604825,-0.9612560755273483
ZNF195_ZNF736,ZNF195,ZNF736,0,0,0,0.06960647561396449,1.9841001791489676,0.8707260776930525
KCNH3_KCNH7,KCNH3,KCNH7,0,0,0,0.11782208687246518,2.71126949376157,1.3006455609109797
TMSB15A_TMSB4X,TMSB15A,TMSB4X,0,0,0,-0.023207973447583893,-0.29271825657438616,-0.16065919933279285
LRRC52_LRTM1,LRRC52,LRTM1,0,0,0,-0.0536316099371366,-0.6718143898444255,-0.40510353652110426
ZNF431_ZNF724,ZNF431,ZNF724,0,0,0,,,
MYO1A_MYO1G,MYO1A,MYO1G,0,0,0,0.07041366138437878,1.241493150904525,0.7074177987203976
ENPEP_ERAP1,ENPEP,ERAP1,0,0,0,0.06121528419974203,1.185264241424771,0.5758548078398433
IL18R1_IL1RL2,IL18R1,IL1RL2,0,0,0,0.15222874758295202,1.6412056667178938,0.9618189839769508
MRO_MROH2B,MRO,MROH2B,0,0,0,-0.13861090591925268,1.7245047776548983,0.8940622052536825
ZNF141_ZNF680,ZNF141,ZNF680,0,0,0,-0.07323742578937581,-0.8932938334954531,-0.46521792080811314
KCNC1_KCNC2,KCNC1,KCNC2,0,0,0,-0.09402424509003515,-2.1757059050773315,-0.7065354912324469
UGT2B10_UGT2B15,UGT2B10,UGT2B15,0,0,0,0.39057129512897054,3.8595219150004407,2.116091275393583
CEACAM3_PSG8,CEACAM3,PSG8,0,0,0,-0.09281544086222634,-1.3867545322152708,-0.7830809800978648
KRT26_KRT28,KRT26,KRT28,0,0,0,0.00969420796545534,0.22606562667323632,0.09386629206864255
ZNF699_ZNF709,ZNF699,ZNF709,0,0,0,0.1589023860263833,1.2592727948805058,0.7709548276518898
ZNF254_ZNF431,ZNF254,ZNF431,0,0,0,,,
ENPEP_LVRN,ENPEP,LVRN,0,0,0,-0.1447565327468892,-3.8172267358821097,-1.234711160368129
ZNF492_ZNF680,ZNF492,ZNF680,0,0,0,0.3127925129874859,3.6747390532683313,1.4455108444433586
ZNF625_ZNF878,ZNF625,ZNF878,0,0,0,-0.2769452771894101,2.417199549779953,1.222471488531318
ZKSCAN3_ZKSCAN4,ZKSCAN3,ZKSCAN4,0,0,0,0.10375988491993174,4.004285623445359,0.9003418642534857
ZNF600_ZNF611,ZNF600,ZNF611,0,0,0,-0.12640134040596418,-1.924471733234196,-1.0655489040183224
FLVCR1_FLVCR2,FLVCR1,FLVCR2,0,0,0,0.10814497499554321,2.03922440923299,0.5232583185107555
DNAH3_DNAH7,DNAH3,DNAH7,0,0,0,0.1361878618771241,3.534563554680841,0.9285195187120775
CELF1_CELF2,CELF1,CELF2,0,0,0,-0.13189817699405523,-1.5767825172221481,-0.7429739560878614
WNT7A_WNT7B,WNT7A,WNT7B,0,0,0,-0.09269140320161384,-5.10937104775765,-1.1948790285895305
SLC28A1_SLC28A2,SLC28A1,SLC28A2,0,0,0,0.07031425702409412,1.701674027021083,0.6882073442959464
HIGD1A_HIGD1C,HIGD1A,HIGD1C,0,0,0,,,
RGS6_RGS7,RGS6,RGS7,0,0,0,-0.05435355022113967,1.419190367712303,-0.35841828522416597
USP17L2_USP17L4,USP17L2,USP17L4,0,0,0,,,
ANKRD26_POTEE,ANKRD26,POTEE,0,0,0,-0.03440468583769571,-1.5773151774262375,-0.30916416489700776
KLF14_SP7,KLF14,SP7,0,0,0,0.05235225692345641,0.9241733947005445,0.43180899270667084
ANKRD18B_POTEE,ANKRD18B,POTEE,0,0,0,0.045397191218474686,0.7476193179958724,0.36839606117446955
ZNF157_ZNF2,ZNF157,ZNF2,0,0,0,0.05150663179453398,3.1094797665513187,0.6806441382935704
H3-4_H3C6,H3-4,H3C6,0,0,0,-0.19979552844074353,-1.9092336789088549,-1.146153424099727
H3C1_H3C6,H3C1,H3C6,0,0,0,,,
PLK1_PLK5,PLK1,PLK5,0,0,0,-0.11585776601869657,1.9295052502852859,0.9149698261871058
HNRNPC_HNRNPCL3,HNRNPC,HNRNPCL3,0,0,0,,,
CACNB2_CACNB3,CACNB2,CACNB3,0,0,0,0.13491959546994875,-2.852168500147522,-0.9857346834993649
AGAP5_AGAP6,AGAP5,AGAP6,0,0,0,,,
DCC_IGDCC3,DCC,IGDCC3,0,0,0,-0.12240576059886533,-2.8414783765359477,-1.2088945346268178
HNRNPK_PCBP3,HNRNPK,PCBP3,0,0,0,-0.006246457690796561,-0.13971069078644788,-0.05644753373526558
H2BC17_H2BU1,H2BC17,H2BU1,0,0,0,,,
ZNF117_ZNF716,ZNF117,ZNF716,0,0,0,-0.07238897268923708,-0.5956578388170258,-0.29890553314605395
ABCA12_ABCA3,ABCA12,ABCA3,0,0,0,-0.11604278672093482,-3.0837983958758795,-1.0671923391676663
LAMB4_NTN4,LAMB4,NTN4,0,0,0,0.11209204088759599,4.920982633378697,1.3219713456398536
NTRK3_ROR2,NTRK3,ROR2,0,0,0,0.10582765112953268,-1.8718025196179537,0.8284875127959631
GANAB_SI,GANAB,SI,0,0,0,-0.14979361478409514,-1.8551539712386331,-0.690984943318215
ZNF676_ZNF708,ZNF676,ZNF708,0,0,0,-0.07130753802897091,1.7616330168583323,-0.6139250998457537
DNAJC12_DNAJC17,DNAJC12,DNAJC17,0,0,0,,,
RIMS1_RIMS3,RIMS1,RIMS3,0,0,0,-0.09619556013236519,-1.7844773891023558,-0.8338833401149423
PPP2R2B_PPP2R2C,PPP2R2B,PPP2R2C,0,0,0,0.10478419334189915,-1.3916968304747974,-0.8300745593702346
DLG2_DLG5,DLG2,DLG5,0,0,0,-0.15235572861632912,-2.1896660102054195,-0.7738391008815724
LYZL1_LYZL6,LYZL1,LYZL6,0,0,0,,,
LRRC26_SLITRK3,LRRC26,SLITRK3,0,0,0,-0.12600214005461985,1.0933427771368878,-0.6608150280158872
FCGR1A_FCRL5,FCGR1A,FCRL5,0,0,0,-0.162079659197502,-1.1888652146462797,-0.664490067649687
TXN_TXNDC2,TXN,TXNDC2,0,0,0,-0.19207612559681597,-2.947649246074338,-0.5291826931506358
SYT14_SYT15,SYT14,SYT15,0,0,0,,,
DCLK1_DCLK2,DCLK1,DCLK2,0,0,0,0.10973057420120436,1.6488524429496885,1.1013966816754006
TRPC3_TRPC7,TRPC3,TRPC7,0,0,0,0.14798841961474674,1.8979792077661846,1.0134463170165364
PSMA7_PSMA8,PSMA7,PSMA8,0,0,0,-0.3266487318880169,-1.2876314395510209,-0.7074162861387598
CHD1_CHD2,CHD1,CHD2,0,0,0,0.28760620830604133,1.7343023133552256,0.8640993190086445
MAP2K1_MAP2K2,MAP2K1,MAP2K2,0,0,0,0.3016810141785536,6.155849068474276,1.219011767606055
SMARCA2_SMARCA4,SMARCA2,SMARCA4,0,0,0,-0.7096838101792589,-4.726208609357345,-1.2498425628794876
SETD1A_SETD1B,SETD1A,SETD1B,0,0,0,0.2302517246477408,3.7202856994690325,1.1395346654081324
MAP2K3_MAP2K6,MAP2K3,MAP2K6,0,0,0,0.038689230427412846,1.3249851507873591,0.5357938904705288
MPRIP_TRIOBP,MPRIP,TRIOBP,0,0,0,-0.1810867644352057,2.4314959013178736,-1.2296272292005064
KMT2A_KMT2B,KMT2A,KMT2B,0,0,0,-0.21076798452327083,3.088609900029738,0.9154780198818541
KAT2A_KAT2B,KAT2A,KAT2B,0,0,0,-0.13110590235999212,-1.659119785962222,-0.8166845306777091
ARID4A_ARID4B,ARID4A,ARID4B,0,0,0,-0.2619288732026732,2.6538946351079633,1.2518185591578372
DCP1A_DCP1B,DCP1A,DCP1B,0,0,0,,,
MTM1_MTMR2,MTM1,MTMR2,0,0,0,0.11622529280672117,1.3625502277518704,0.9311210274019017
PTK6_SRC,PTK6,SRC,0,0,0,-0.0236691137364161,-0.23701637843193785,-0.12807316106326044
HCK_SRC,HCK,SRC,0,0,0,-0.0690957865826434,-1.5491169765613195,-0.7116060594276101
AKT1_AKT3,AKT1,AKT3,0,0,0,-0.05905946317549736,-0.573792124223135,-0.24699837023499135
LCK_SRC,LCK,SRC,0,0,0,-0.09182321896425681,-1.7789638073935583,-0.9350477340393893
IRS1_IRS2,IRS1,IRS2,0,0,0,-0.2303543772627187,1.8544012574796631,-0.6599184845911845
RGPD3_RGPD8,RGPD3,RGPD8,0,0,0,,,
VCX2_VCX3A,VCX2,VCX3A,0,0,0,,,
FER1L5_OTOF,FER1L5,OTOF,0,0,0,-0.08673267808446579,-2.1560769473837853,0.896887889607342
CENPE_KIF6,CENPE,KIF6,0,0,0,0.3452326567465007,2.2706039709119907,1.1642315896590811
SPANXB1_SPANXD,SPANXB1,SPANXD,0,0,0,,,
TUBB_TUBB1,TUBB,TUBB1,0,0,0,0.3566744125160991,1.7969180787098784,0.6078767284674217
TSPY1_TSPY2,TSPY1,TSPY2,0,0,0,,,
EAF1_EAF2,EAF1,EAF2,0,0,0,0.015089247362415181,0.09998297437924032,0.05551550092308503
SULT1A1_SULT1A2,SULT1A1,SULT1A2,0,0,0,-0.06625389476409232,-0.4505922239365435,-0.27964710459158837
CERCAM_COLGALT2,CERCAM,COLGALT2,0,0,0,0.06913722156752755,2.7747490702977347,0.7436889100151635
ANKRD62_POTEE,ANKRD62,POTEE,0,0,0,-0.024008270486320454,-1.1725950252645898,-0.33829766676503853
HNRNPK_NOVA2,HNRNPK,NOVA2,0,0,0,0.27053649508423216,1.7795798872336648,0.549685384099454
POTEE_POTEF,POTEE,POTEF,0,0,0,,,
GOLGA8J_GOLGA8N,GOLGA8J,GOLGA8N,0,0,0,,,
MT1H_MT2A,MT1H,MT2A,0,0,0,,,
