driver_gene,paralog_gene,cancer_type,signed_dd,welch_t,hedges_g,n_mut,n_wt,sufficient_dep_n,is_known_paralog_sl
KRAS,RASL11B,Ovarian,0.011672893722476714,0.40209769801242207,0.12537394143354647,8,47,True,False
KRAS,NKIRAS1,Ovarian,-0.010640739201948815,-0.35570900833638786,-0.11804846055547351,8,47,True,False
KRAS,MRAS,Ovarian,-0.009164050682923178,-0.31230786374795966,-0.09772476987633587,8,47,True,False
KRAS,RAP2A,Ovarian,0.007375797610859575,0.1551882744372317,0.06225824184904759,8,47,True,False
KRAS,DIRAS1,Ovarian,-0.005739476861569524,-0.23909005691705273,-0.07710439742555726,8,47,True,False
KRAS,RERG,Ovarian,-0.004397315248473331,-0.1276065572988285,-0.04023575339225668,8,47,True,False
PIK3CA,PIK3CB,Ovarian,-0.1129602117024865,-1.6484665416590567,-0.5913835584209584,12,43,True,True
PIK3CA,PIK3CG,Ovarian,0.007516457753097016,0.16317257695792514,0.05805467428137807,12,43,True,False
PIK3CA,PIK3CD,Ovarian,-0.02952476000444143,-0.8962142826289253,-0.26253930252623886,12,43,True,False
PTEN,TNS1,Ovarian,-0.04029577720960721,-0.9275268047085526,-0.37147689875056267,6,49,True,False
PTEN,TNS2,Ovarian,-0.0038338930677206395,-0.06284045256829887,-0.027862130494558397,6,49,True,False
TP53,TP73,Ovarian,-0.08111023637384261,-1.7348209451908871,-0.5324810289400468,40,15,True,False
TP53,TP63,Ovarian,-0.02970401422710598,-0.7993478861913164,-0.24144936698114677,40,15,True,False
ARID1A,ARID1B,Endometrial,0.29767637947725195,4.146204839097143,1.285484582920431,21,7,True,True
FBXW7,FBXW2,Endometrial,0.018108516712716516,0.354766918933924,0.16080749102252367,8,20,True,True
FBXW7,FBXW4,Endometrial,0.08167823401765074,1.3012440816137991,0.48911000952894973,8,20,True,False
FBXW7,FBXW5,Endometrial,0.01242087866440874,0.33928883658372333,0.14790337411409962,8,20,True,False
KMT2D,KMT2C,Endometrial,0.10297463595261083,1.1752480463540242,0.4312640859177889,14,14,True,False
KRAS,RHEB,Endometrial,-0.15944237279714574,-1.4389675032400178,-0.5809901698723305,6,22,True,False
KRAS,RASL10B,Endometrial,0.11341204266004018,2.9190626823337116,1.1289045809952523,6,22,True,False
KRAS,RRAS2,Endometrial,-0.11894191429347756,-2.818607105059315,-0.903065140448573,6,22,True,False
KRAS,ERAS,Endometrial,0.145904148382284,3.275101039336827,1.2429671901500512,6,22,True,False
KRAS,RASL11A,Endometrial,0.04452998345024002,0.8925023854104578,0.353932419892929,6,22,True,False
KRAS,RRAS,Endometrial,-0.0039033705528594698,-0.08299508605072069,-0.03668477809981272,6,22,True,False
KRAS,RAP2B,Endometrial,0.09925293993453561,2.1546589128436215,0.7801851505111651,6,22,True,False
KRAS,HRAS,Endometrial,-0.08718410119207806,-1.2144916093112261,-0.5423962978311052,6,22,True,False
KRAS,NKIRAS2,Endometrial,0.08526122819423737,1.4565647527941428,0.6673922762064936,6,22,True,False
KRAS,RALB,Endometrial,-0.07922012094383196,-2.1416503906443025,-0.7535057365183077,6,22,True,False
KRAS,DIRAS2,Endometrial,-0.09496609283423627,-1.798163040953652,-0.7280482577086129,6,22,True,False
KRAS,RERGL,Endometrial,-0.08371543088790674,-2.407108006432484,-0.948329238194916,6,22,True,False
KRAS,RAP2C,Endometrial,0.06720027457146413,1.5629149181363264,0.4963447188872535,6,22,True,False
KRAS,RERG,Endometrial,0.05487808933638359,0.8580424894102404,0.3034098632338459,6,22,True,False
KRAS,RHEBL1,Endometrial,0.03633786838263767,0.6642909294633931,0.2833485600538283,6,22,True,False
KRAS,DIRAS1,Endometrial,0.04222887057651937,0.9771959688231318,0.3896447471886298,6,22,True,False
KRAS,RIT1,Endometrial,-0.004991706954782682,-0.12130697662961298,-0.04528229455068569,6,22,True,False
KRAS,NRAS,Endometrial,-0.05362640628930246,-1.0334613133952009,-0.3619280921761953,6,22,True,False
KRAS,NKIRAS1,Endometrial,-0.041368031798941406,-0.9040271692871911,-0.31414490506778076,6,22,True,False
KRAS,RASL11B,Endometrial,0.050350840355480514,0.7018755490044941,0.32693803625538853,6,22,True,False
KRAS,DIRAS3,Endometrial,-0.027601565111234877,-0.3576446423957503,-0.1352837649294636,6,22,True,False
KRAS,RASD2,Endometrial,0.02772378269534337,0.5099159490127809,0.2285947771078786,6,22,True,False
KRAS,RIT2,Endometrial,-0.003211190690306523,-0.08335967181825868,-0.02716222847107838,6,22,True,False
KRAS,RASL10A,Endometrial,0.012648839942871026,0.1795477839271425,0.07802120382301858,6,22,True,False
KRAS,MRAS,Endometrial,0.014611911053879972,0.355707560139014,0.1425485104761985,6,22,True,False
KRAS,RAP2A,Endometrial,0.0106013088812415,0.18026965472496423,0.07638935326098299,6,22,True,False
KRAS,RAP1A,Endometrial,-0.007818713110652131,-0.1799327534415256,-0.06668106077027977,6,22,True,False
KRAS,RASL12,Endometrial,0.006629247857258304,0.13473770355821565,0.056227023219033945,6,22,True,False
KRAS,RAP1B,Endometrial,0.0030520230111058533,0.07345907275495743,0.025112638243614732,6,22,True,False
KRAS,RALA,Endometrial,0.004513381141380612,0.09340685438802868,0.03247963039516247,6,22,True,False
PIK3CA,PIK3CB,Endometrial,-0.11905831918078444,-1.7705138175449828,-0.6504064583036054,15,13,True,True
PIK3CA,PIK3CG,Endometrial,-0.03763567936800176,-1.044986789123537,-0.3837243505719443,15,13,True,False
PIK3CA,PIK3CD,Endometrial,-0.01100094877024857,-0.20733731135023695,-0.0751826374225088,15,13,True,False
PIK3R1,CRKL,Endometrial,0.24495809046351302,0.6498300142707533,0.3084435511622764,7,21,True,False
PIK3R1,SUPT6H,Endometrial,-0.08630182287551591,-0.4823915815317305,-0.218773113923793,7,21,True,False
PIK3R1,CRK,Endometrial,0.00805078225533118,0.06458756453030107,0.02977844315374685,7,21,True,False
PIK3R1,SHE,Endometrial,-0.0969403633799942,-1.9290205230380553,-0.7014229604572932,7,21,True,False
PIK3R1,SHC1,Endometrial,0.011300496786142089,0.09693192028342205,0.043666917452793476,7,21,True,False
