pair,gene_a,gene_b,hit_union,hit_h1299,hit_mdamb231,dd_min3,abs_dd,max_abs_mean_chronos,min_abs_mean_chronos,mrna_coexpression
ALDH16A1_ALDH1A2,ALDH16A1,ALDH1A2,0,0,0,-0.0620183158819878,0.0620183158819878,0.02575674353329489,0.020129572454006463,0.01894633971680299
TUBA3D_TUBA3E,TUBA3D,TUBA3E,0,0,0,-0.2110335038034365,0.2110335038034365,0.3277764925064275,0.03757226441230404,0.4937341423067539
DUSP10_DUSP9,DUSP10,DUSP9,0,0,0,-0.0345869669632234,0.0345869669632234,0.006696359201804933,0.0009862176066215878,-0.07345149927697331
IGSF1_KIR2DL3,IGSF1,KIR2DL3,0,0,0,0.156863103738673,0.156863103738673,0.09874243768540202,0.021123370020371547,-0.01690843903224304
KLF14_SP2,KLF14,SP2,0,0,0,-0.0793754254200434,0.0793754254200434,0.28971708906095023,0.04764686241513863,0.11653110625940363
ZNF317_ZNF333,ZNF317,ZNF333,0,0,0,-0.0732750514111628,0.0732750514111628,0.291941813664977,0.12485927869604892,0.35157804666563414
AGAP1_AGAP6,AGAP1,AGAP6,0,0,0,-0.0886152163389649,0.0886152163389649,0.6324894974075496,0.035266936660598804,0.07664867162206519
BMX_TXK,BMX,TXK,0,0,0,-0.138397941548562,0.138397941548562,0.14512558437707906,0.12649432795165885,0.04458534937742396
HLA-DOB_HLA-DQB2,HLA-DOB,HLA-DQB2,0,0,0,-0.1652394637160036,0.1652394637160036,0.0410927278090689,0.0017603612262005828,0.4548536680674922
KRT6A_KRT6C,KRT6A,KRT6C,0,0,0,0.1289930661597353,0.1289930661597353,0.18749171263261893,0.03408921315007048,0.6967119962495738
BPIFB2_BPIFB3,BPIFB2,BPIFB3,0,0,0,-0.1015009157400666,0.1015009157400666,0.1078997463171342,0.03018151655513157,0.14830638255028494
OR6C4_OR6C76,OR6C4,OR6C76,0,0,0,0.0189489435265528,0.0189489435265528,0.07521449303203159,0.04518502023001657,0.11466793923911904
MTSS1_MTSS2,MTSS1,MTSS2,0,0,0,-0.0935056815330145,0.0935056815330145,0.11182542248429828,0.0334467702173863,0.1273531492710092
HECTD2_HERC6,HECTD2,HERC6,0,0,0,-0.0805841079621786,0.0805841079621786,0.03241711992277721,0.00885084270617636,0.01958303187847608
KRT71_KRT73,KRT71,KRT73,0,0,0,-0.0418800830176021,0.0418800830176021,0.04646935575045114,0.01038434648913474,0.018331848338058673
RAB1A_RAB40C,RAB1A,RAB40C,0,0,0,0.1535742344474284,0.1535742344474284,0.18292861910947278,0.02346772523348361,0.25340737843173006
IPP_KLHL3,IPP,KLHL3,0,0,0,-0.0667207807041345,0.0667207807041345,0.1034745297946394,0.09690158717534393,0.10426030590496267
OR2M3_OR2V2,OR2M3,OR2V2,0,0,0,-0.1251927346076649,0.1251927346076649,0.1247111228562631,0.006516608608541659,0.018130384191206578
LILRA1_LILRB5,LILRA1,LILRB5,0,0,0,0.2641823359504652,0.2641823359504652,0.11951958670243344,0.025413096219145295,0.04461239733486202
MAP7_MAP7D2,MAP7,MAP7D2,0,0,0,-0.226437319434414,0.226437319434414,0.12812168660880577,0.11437023285856822,0.15908304184721547
NOTCH1_SNED1,NOTCH1,SNED1,0,0,0,0.1105155840852109,0.1105155840852109,0.027382493789438477,0.004068621885453416,0.05140580295230648
SOCS6_SOCS7,SOCS6,SOCS7,0,0,0,0.1104598116262028,0.1104598116262028,0.038362004772977396,0.015842887201265875,0.13686281076483026
ACSM2B_ACSM6,ACSM2B,ACSM6,0,0,0,-0.0664304368751063,0.0664304368751063,0.1447144677603986,0.017289111590522304,0.03728943508341542
CTSB_CTSC,CTSB,CTSC,0,0,0,0.0313339870551514,0.0313339870551514,0.17466324404062697,0.06932560548068852,0.20026539866838972
IFNA16_IFNA4,IFNA16,IFNA4,0,0,0,-0.0195451878901947,0.0195451878901947,0.09005180913550204,0.05497147068731292,0.3932893267095565
ABCA13_ABCA7,ABCA13,ABCA7,0,0,0,-0.2298521100787554,0.2298521100787554,0.06939878647387189,0.019016755163777346,0.07069779765389757
PRDM14_PRDM4,PRDM14,PRDM4,0,0,0,-0.1232866405445665,0.1232866405445665,0.11121314740329902,0.02973364904506644,-0.0835714086205325
ADAMTSL3_PAPLN,ADAMTSL3,PAPLN,0,0,0,0.1588734364257211,0.1588734364257211,0.0716640231260483,0.022918449873324514,0.26524273632860795
ZNF174_ZSCAN25,ZNF174,ZSCAN25,0,0,0,0.0642467014783316,0.0642467014783316,0.17003635494738867,0.11605660403689957,0.4274840230836186
MEGF9_USH2A,MEGF9,USH2A,0,0,0,-0.1139393245519208,0.1139393245519208,0.09562141165217405,0.04891196555567531,0.09454242725723554
MYH13_MYH8,MYH13,MYH8,0,0,0,0.1079326621618615,0.1079326621618615,0.028401237624685938,0.003753465521931884,0.39058829249451377
MAGEB3_NSMCE3,MAGEB3,NSMCE3,0,0,0,0.4223367655816091,0.4223367655816091,0.9487954240585458,0.05403917106818277,0.04072446803934779
ARL11_ARL4C,ARL11,ARL4C,0,0,0,-0.0207939723624653,0.0207939723624653,0.08519852000578876,0.05551320276644636,-0.32102598612764743
L3MBTL1_L3MBTL2,L3MBTL1,L3MBTL2,0,0,0,-0.0814050846005849,0.0814050846005849,0.14839941995448896,0.06425514236355108,0.1369809093874682
SLC6A1_SLC6A14,SLC6A1,SLC6A14,0,0,0,0.147772212750249,0.147772212750249,0.08800286470898688,0.019996876219879074,-0.05676351329808111
CARM1_PRMT2,CARM1,PRMT2,0,0,0,-0.1072498149856081,0.1072498149856081,0.32461381089473845,0.06947307676197968,0.2945169113087731
FBLN1_LTBP4,FBLN1,LTBP4,0,0,0,-0.0812349696386533,0.0812349696386533,0.0193141125064812,0.012663653546521946,0.05403225762663466
KRT74_KRT85,KRT74,KRT85,0,0,0,0.0951035324803773,0.0951035324803773,0.0864678266560099,0.028485849678266614,0.09694173674758508
CYP4A11_CYP4X1,CYP4A11,CYP4X1,0,0,0,0.0755960973452053,0.0755960973452053,0.10502418078341741,0.02155765912625929,0.2482447776160576
ZIC2_ZIC5,ZIC2,ZIC5,0,0,0,0.070884889861787,0.070884889861787,0.03902357526242164,0.006864872863223218,0.8432129389857107
CHST6_CHST7,CHST6,CHST7,0,0,0,0.0577365734144632,0.0577365734144632,0.03191134954036477,0.005655417907733379,0.03139611009761448
ZNF273_ZNF730,ZNF273,ZNF730,0,0,0,-0.2341304516926741,0.2341304516926741,0.19521979983217452,0.15540572727897284,0.5462888778896954
ZNF519_ZNF626,ZNF519,ZNF626,0,0,0,-0.1199831980603457,0.1199831980603457,0.2609313961612844,0.13864091593167488,0.06802393270634019
MID1_TRIM55,MID1,TRIM55,0,0,0,-0.0798723842868862,0.0798723842868862,0.15980147581095475,0.012052655175138698,0.04078485601208276
ZNF669_ZNF791,ZNF669,ZNF791,0,0,0,0.1451123764342869,0.1451123764342869,0.11974707402714181,0.002066031560104046,0.4317498332124253
