,SequencingID,ModelID,ModelConditionID,IsDefaultEntryForModel,IsDefaultEntryForMC,MSIScore,LoHFraction,WGD,CIN,Ploidy,Aneuploidy
1678,CDS-GLndPO,ACH-000030,MC-000030-qlUo,No,Yes,1.58,0.405012712070314,1.0,0.735137557671097,3.40198952476929,19.0
1679,CDS-GMP4Ba,ACH-002312,MC-002312-oZWt,Yes,Yes,1.76,0.537847649589284,1.0,0.536815331840531,2.6727328797614103,25.0
1680,CDS-GTkHGf,ACH-001075,MC-001075-R1R4,No,No,7.01,0.0260371905178606,0.0,0.167041099805982,2.10238987983927,7.0
1681,CDS-GUJUKu,ACH-000310,MC-000310-adwH,No,No,3.03,0.0277648947248725,0.0,0.276804752366126,2.31262676189529,9.0
1682,CDS-GWV7iq,ACH-001197,MC-001197-u3xl,No,No,3.07,,,,,
1683,CDS-GXvrLe,ACH-000241,MC-000241-I2In,Yes,Yes,1.39,0.0290214889536726,0.0,0.126367948033168,2.07567439658207,4.0
1684,CDS-GZ2d8P,ACH-001147,MC-001147-WkLI,No,No,7.99,0.222788125123414,0.0,0.376151547784186,2.16781471795283,8.0
1685,CDS-Gaun3t,ACH-001433,MC-001433-0iYo,No,No,4.45,0.0805595357897253,1.0,0.417072234113018,3.7900185796472,14.0
1686,CDS-GdKWsW,ACH-001708,MC-001708-hBpK,Yes,Yes,4.86,0.0246047914615008,0.0,0.123849687656382,2.10554790805703,4.0
1687,CDS-Ggv37u,ACH-000893,MC-000893-ZlAo,Yes,Yes,0.75,0.554149438249143,1.0,0.766424432174561,3.10593470584562,26.0
1688,CDS-GjIkws,ACH-002042,MC-002042-doLH,No,No,3.46,0.142857900030895,1.0,0.644328439189245,3.4133218772786402,23.0
1689,CDS-GjKZ2U,ACH-002209,MC-002209-KUxr,Yes,Yes,1.59,0.0168201720504558,0.0,0.494162802540934,2.5786354796766098,19.0
1690,CDS-GkFu5V,ACH-000516,MC-000516-kQiE,No,Yes,0.65,0.377827091139598,1.0,0.832570660993908,3.9524358824149197,25.0
1691,CDS-GkxEPT,ACH-002363,MC-002363-PF84,Yes,Yes,1.06,0.343058695037451,1.0,0.697435135749191,2.8843047982544303,20.0
1692,CDS-Glo5GF,ACH-000792,MC-000792-uVJM,No,Yes,1.5,0.108623786373284,1.0,0.428171865122528,3.2969819857362204,15.0
1693,CDS-GsVsYz,ACH-000749,MC-000749-kHpJ,No,Yes,1.23,0.27697768169304,1.0,0.583755243041199,2.7437206329024906,21.0
1694,CDS-Gt66HR,ACH-002226,MC-002226-5wph,Yes,Yes,0.58,0.18556680785591,1.0,0.628379719730944,3.35250400782992,20.0
1695,CDS-GvgvAM,ACH-000197,MC-000197-qJT7,Yes,Yes,1.73,0.0509170126336017,1.0,0.482328631554318,4.05696014633201,17.0
1696,CDS-Gw7gpg,ACH-001760,MC-001760-k9vF,Yes,Yes,4.07,0.322901325978254,1.0,0.748570813587508,3.81696119097278,23.0
1697,CDS-Gx8ce7,ACH-000144,MC-000144-hewW,No,Yes,1.05,0.398751099453758,1.0,0.635593017339466,2.7904632250689603,23.0
1698,CDS-GxCges,ACH-000345,MC-000345-yXks,No,Yes,1.33,0.0803937924530615,0.0,0.126704697025788,1.98259554785023,4.0
1699,CDS-H3AdwJ,ACH-000240,MC-000240-8RHw,Yes,Yes,1.93,8.14766008919833e-05,0.0,8.14815006322888e-05,1.9998638796836101,0.0
1700,CDS-H44mDx,ACH-000073,MC-000073-32tT,Yes,Yes,1.4,0.096493026667846,0.0,0.119469748899411,1.93056689914572,6.0
1701,CDS-H564Ln,ACH-000530,MC-000530-WFVn,No,Yes,1.08,0.301383302195476,1.0,0.617748204070716,3.15846111831264,21.0
1702,CDS-HDZBuX,ACH-000046,MC-000046-Whue,No,Yes,0.62,0.726307178558405,1.0,0.347418760447256,2.4872373629719,12.0
1703,CDS-HG7P6c,ACH-003476,MC-003476-Y4F6,Yes,Yes,3.84,0.0798086060537885,1.0,0.512549895990273,3.56819791114699,24.0
1704,CDS-HH43Af,ACH-001021,MC-001021-yAAG,No,Yes,0.78,0.12222904935269,0.0,0.386936632061204,2.34014078941481,11.0
1705,CDS-HHbqZS,ACH-000837,MC-000837-xXNo,No,No,2.53,0.601371717200225,1.0,0.508837159342248,2.39254469559156,13.0
1706,CDS-HLZqFA,ACH-001331,MC-001331-esqr,Yes,Yes,0.96,0.171377981680603,0.0,0.278601314283426,2.07105902611377,6.0
1707,CDS-HMeieo,ACH-000460,MC-000460-OPZJ,No,No,3.5,,,,,
1708,CDS-HNj4OC,ACH-001373,MC-001373-sepn,No,Yes,0.32,0.287748050044725,1.0,0.732612511516089,3.46073958952811,29.0
1709,CDS-HPFNQJ,ACH-000906,MC-000906-Gjr3,No,Yes,0.79,0.1091295957739,1.0,0.362895255400335,3.13501501885912,13.0
1710,CDS-HPOGcd,ACH-002261,MC-002261-vRZW,Yes,Yes,1.3,,,,,
1711,CDS-HUDt77,ACH-000243,MC-000243-YQv1,No,Yes,1.31,0.363464497170452,1.0,0.692042651584896,3.03873200657149,24.0
1712,CDS-HVVY6x,ACH-000964,MC-000964-tTts,No,No,44.93,,,,,
1713,CDS-HZFnZE,ACH-000698,MC-000698-61V3,No,No,3.46,0.48244544967444,1.0,0.752157496316331,2.9009599302398397,26.0
